Datetime,Dn,Dm,Dx,Sn,Sm,Sx,source_file,Ta,Ua,Pa,Th,Vh,Vs,Vr,Rc,Rd,Ri,Hc,Hd,Hi
2025-01-21_184004,,,,,,,VPMI.2025.021.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-21_190002,,,,,,,VPMI.2025.021.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-21_192002,,,,,,,VPMI.2025.021.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-21_194002,,,,,,,VPMI.2025.021.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-21_200004,,,,,,,VPMI.2025.021.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-21_202004,,,,,,,VPMI.2025.021.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-21_204004,,,,,,,VPMI.2025.021.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-21_210004,,,,,,,VPMI.2025.021.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-21_212004,,,,,,,VPMI.2025.021.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-21_214004,,,,,,,VPMI.2025.021.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-21_220004,,,,,,,VPMI.2025.021.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-21_222004,,,,,,,VPMI.2025.021.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-21_224004,,,,,,,VPMI.2025.021.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-21_230004,,,,,,,VPMI.2025.021.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-21_232001,,,,,,,VPMI.2025.021.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-21_234004,,,,,,,VPMI.2025.021.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-21_164011,,,,,,,VPMI.2025.021.0R5.csv,,,,14.9,0.0,13.1,3.649,,,,,,
2025-01-21_170011,,,,,,,VPMI.2025.021.0R5.csv,,,,13.4,0.0,13.1,3.649,,,,,,
2025-01-21_172011,,,,,,,VPMI.2025.021.0R5.csv,,,,13.9,0.0,13.2,3.65,,,,,,
2025-01-21_174011,,,,,,,VPMI.2025.021.0R5.csv,,,,15.1,0.0,13.3,3.649,,,,,,
2025-01-21_180011,,,,,,,VPMI.2025.021.0R5.csv,,,,14.2,0.0,13.1,3.649,,,,,,
2025-01-21_182041,,,,,,,VPMI.2025.021.0R5.csv,,,,14.0,0.0,13.2,3.651,,,,,,
2025-01-21_184011,,,,,,,VPMI.2025.021.0R5.csv,,,,13.1,0.0,12.9,3.65,,,,,,
2025-01-21_190011,,,,,,,VPMI.2025.021.0R5.csv,,,,12.7,0.0,12.8,3.649,,,,,,
2025-01-21_192011,,,,,,,VPMI.2025.021.0R5.csv,,,,13.4,0.0,13.1,3.649,,,,,,
2025-01-21_194011,,,,,,,VPMI.2025.021.0R5.csv,,,,14.3,0.0,13.1,3.65,,,,,,
2025-01-21_200011,,,,,,,VPMI.2025.021.0R5.csv,,,,15.6,0.0,13.1,3.649,,,,,,
2025-01-21_202011,,,,,,,VPMI.2025.021.0R5.csv,,,,19.4,0.0,13.8,3.649,,,,,,
2025-01-21_204011,,,,,,,VPMI.2025.021.0R5.csv,,,,18.4,0.0,14.6,3.65,,,,,,
2025-01-21_210011,,,,,,,VPMI.2025.021.0R5.csv,,,,18.2,0.0,14.6,3.649,,,,,,
2025-01-21_212011,,,,,,,VPMI.2025.021.0R5.csv,,,,18.1,0.0,14.6,3.649,,,,,,
