Datetime,Event ID,Label,Station,Sensor Type,Acoustic t1,Acoustic t2,Energy,Duration,Magnitude
2025-03-05 03:39:38+00:00,167179,Acoustic,VPVF,acoustic,2025-03-05 03:39:38+00:00,2025-03-05 03:40:04+00:00,5.876,26.0,0.5152847973692067
2025-03-05 03:40:26+00:00,167180,Acoustic,VPVF,acoustic,2025-03-05 03:40:26+00:00,2025-03-05 03:41:02+00:00,16.577,36.0,0.8170689781068142
2025-03-05 03:42:24+00:00,167181,Acoustic,VPVF,acoustic,2025-03-05 03:42:24+00:00,2025-03-05 03:42:56+00:00,87.702,32.0,1.3018163632219533
2025-03-05 03:44:32+00:00,167182,Acoustic,VPVF,acoustic,2025-03-05 03:44:32+00:00,2025-03-05 03:45:16+00:00,206.226,44.0,1.550610090191512
2025-03-05 03:47:00+00:00,167183,Acoustic,VPVF,acoustic,2025-03-05 03:47:00+00:00,2025-03-05 03:47:26+00:00,2.497,26.0,0.266270423375403
2025-03-05 03:48:54+00:00,167184,Acoustic,VPVF,acoustic,2025-03-05 03:48:54+00:00,2025-03-05 03:49:48+00:00,46.324,54.0,1.116090055470742
2025-03-05 03:51:04+00:00,167185,Acoustic,VPVF,acoustic,2025-03-05 03:51:04+00:00,2025-03-05 03:51:30+00:00,8.335,26.0,0.6170067547898963
2025-03-05 03:52:16+00:00,167186,Acoustic,VPVF,acoustic,2025-03-05 03:52:16+00:00,2025-03-05 03:52:38+00:00,3.55,22.0,0.3686529965469131
2025-03-05 03:54:40+00:00,167187,Acoustic,VPVF,acoustic,2025-03-05 03:54:40+00:00,2025-03-05 03:55:36+00:00,25.785,56.0,0.9456159809476316
2025-03-05 03:56:30+00:00,167188,Acoustic,VPVF,acoustic,2025-03-05 03:56:30+00:00,2025-03-05 03:57:46+00:00,29.858,76.0,0.9882906781803446
2025-03-05 03:57:56+00:00,167189,Acoustic,VPVF,acoustic,2025-03-05 03:57:56+00:00,2025-03-05 03:58:20+00:00,53.531,24.0,1.1581655887961169
2025-03-05 03:59:34+00:00,167190,Acoustic,VPVF,acoustic,2025-03-05 03:59:34+00:00,2025-03-05 04:00:26+00:00,34.97,52.0,1.034276073647194
2025-03-05 04:01:52+00:00,167191,Acoustic,VPVF,acoustic,2025-03-05 04:01:52+00:00,2025-03-05 04:02:16+00:00,46.045,24.0,1.1143322597949117
2025-03-05 04:03:28+00:00,167192,Acoustic,VPVF,acoustic,2025-03-05 04:03:28+00:00,2025-03-05 04:05:02+00:00,237.41,94.0,1.5915843353729873
2025-03-05 04:05:56+00:00,167193,Acoustic,VPVF,acoustic,2025-03-05 04:05:56+00:00,2025-03-05 04:06:26+00:00,27.961,30.0,0.9691903086667928
2025-03-05 04:06:46+00:00,167194,Acoustic,VPVF,acoustic,2025-03-05 04:06:46+00:00,2025-03-05 04:07:14+00:00,31.689,28.0,1.005608718121371
2025-03-05 04:08:44+00:00,167195,Acoustic,VPVF,acoustic,2025-03-05 04:08:44+00:00,2025-03-05 04:09:08+00:00,3.528,24.0,0.366844146228054
2025-03-05 04:10:02+00:00,167196,Acoustic,VPVF,acoustic,2025-03-05 04:10:02+00:00,2025-03-05 04:10:32+00:00,29.814,30.0,0.9878615655765484
2025-03-05 04:11:56+00:00,167197,Acoustic,VPVF,acoustic,2025-03-05 04:11:56+00:00,2025-03-05 04:12:38+00:00,73.851,42.0,1.2517987748498915
2025-03-05 04:13:34+00:00,167198,Acoustic,VPVF,acoustic,2025-03-05 04:13:34+00:00,2025-03-05 04:14:16+00:00,438.136,42.0,1.7698779891307206
2025-03-05 04:14:32+00:00,167199,Acoustic,VPVF,acoustic,2025-03-05 04:14:32+00:00,2025-03-05 04:15:04+00:00,96.144,32.0,1.3285578650683396
2025-03-05 04:17:48+00:00,167200,Acoustic,VPVF,acoustic,2025-03-05 04:17:48+00:00,2025-03-05 04:18:42+00:00,102.271,54.0,1.3465341766588983
2025-03-05 04:20:34+00:00,167201,Acoustic,VPVF,acoustic,2025-03-05 04:20:34+00:00,2025-03-05 04:21:52+00:00,78.066,78.0,1.2679494912588856
2025-03-05 04:21:18+00:00,167202,Acoustic,VPVF,acoustic,2025-03-05 04:21:18+00:00,2025-03-05 04:21:44+00:00,19.372,26.0,0.8624068884509162
2025-03-05 04:22:26+00:00,167203,Acoustic,VPVF,acoustic,2025-03-05 04:22:26+00:00,2025-03-05 04:22:56+00:00,62.637,30.0,1.2038767358351223
2025-03-05 04:23:38+00:00,167204,Acoustic,VPVF,acoustic,2025-03-05 04:23:38+00:00,2025-03-05 04:23:58+00:00,19.581,20.0,0.8655293611684782
2025-03-05 04:24:48+00:00,167205,Acoustic,VPVF,acoustic,2025-03-05 04:24:48+00:00,2025-03-05 04:25:18+00:00,128.173,30.0,1.4122236881470112
2025-03-05 04:26:42+00:00,167206,Acoustic,VPVF,acoustic,2025-03-05 04:26:42+00:00,2025-03-05 04:27:02+00:00,4.883,20.0,0.4614201052703627
2025-03-05 04:27:18+00:00,167207,Acoustic,VPVF,acoustic,2025-03-05 04:27:18+00:00,2025-03-05 04:28:00+00:00,5.564,42.0,0.4994093712844059
2025-03-05 04:29:04+00:00,167208,Acoustic,VPVF,acoustic,2025-03-05 04:29:04+00:00,2025-03-05 04:29:56+00:00,43.792,52.0,1.0997345026442524
2025-03-05 04:30:46+00:00,167209,Acoustic,VPVF,acoustic,2025-03-05 04:30:46+00:00,2025-03-05 04:31:28+00:00,30.688,42.0,0.9962689522786816
2025-03-05 04:32:12+00:00,167210,Acoustic,VPVF,acoustic,2025-03-05 04:32:12+00:00,2025-03-05 04:32:48+00:00,43.365,36.0,1.0968833649866474
2025-03-05 04:35:06+00:00,167211,Acoustic,VPVF,acoustic,2025-03-05 04:35:06+00:00,2025-03-05 04:35:40+00:00,45.206,34.0,1.108981374065918
2025-03-05 04:36:00+00:00,167212,Acoustic,VPVF,acoustic,2025-03-05 04:36:00+00:00,2025-03-05 04:36:26+00:00,48.706,26.0,1.1306802511653042
2025-03-05 04:38:38+00:00,167213,Acoustic,VPVF,acoustic,2025-03-05 04:38:38+00:00,2025-03-05 04:39:06+00:00,28.867,28.0,0.9784691069850936
2025-03-05 04:39:26+00:00,167214,Acoustic,VPVF,acoustic,2025-03-05 04:39:26+00:00,2025-03-05 04:40:04+00:00,15.31,38.0,0.793933377767835
2025-03-05 04:40:42+00:00,167215,Acoustic,VPVF,acoustic,2025-03-05 04:40:42+00:00,2025-03-05 04:41:02+00:00,31.856,20.0,1.007138132597834
2025-03-05 04:43:14+00:00,167216,Acoustic,VPVF,acoustic,2025-03-05 04:43:14+00:00,2025-03-05 04:43:40+00:00,20.403,26.0,0.8774949998091144
2025-03-05 04:44:44+00:00,167217,Acoustic,VPVF,acoustic,2025-03-05 04:44:44+00:00,2025-03-05 04:45:22+00:00,23.726,38.0,0.9214004324640858
2025-03-05 04:46:18+00:00,167218,Acoustic,VPVF,acoustic,2025-03-05 04:46:18+00:00,2025-03-05 04:47:00+00:00,58.873,42.0,1.1858438317445728
2025-03-05 04:48:52+00:00,167219,Acoustic,VPVF,acoustic,2025-03-05 04:48:52+00:00,2025-03-05 04:49:30+00:00,24.533,38.0,0.9311329414211292
2025-03-05 04:50:30+00:00,167220,Acoustic,VPVF,acoustic,2025-03-05 04:50:30+00:00,2025-03-05 04:50:58+00:00,15.234,28.0,0.7924853473424351
2025-03-05 04:52:14+00:00,167221,Acoustic,VPVF,acoustic,2025-03-05 04:52:14+00:00,2025-03-05 04:52:50+00:00,5.388,36.0,0.4900564833241352
2025-03-05 04:54:30+00:00,167222,Acoustic,VPVF,acoustic,2025-03-05 04:54:30+00:00,2025-03-05 04:55:16+00:00,72.553,46.0,1.2466391011317433
2025-03-05 04:56:42+00:00,167223,Acoustic,VPVF,acoustic,2025-03-05 04:56:42+00:00,2025-03-05 04:57:16+00:00,8.309,34.0,0.6160976685091282
2025-03-05 04:57:50+00:00,167224,Acoustic,VPVF,acoustic,2025-03-05 04:57:50+00:00,2025-03-05 04:58:14+00:00,3.381,24.0,0.3544602644130652
2025-03-05 05:01:38+00:00,167225,Acoustic,VPVF,acoustic,2025-03-05 05:01:38+00:00,2025-03-05 05:02:08+00:00,8.058,30.0,0.6071722662450806
2025-03-05 05:04:40+00:00,167226,Acoustic,VPVF,acoustic,2025-03-05 05:04:40+00:00,2025-03-05 05:05:04+00:00,63.321,24.0,1.2070370024571346
2025-03-05 05:06:24+00:00,167227,Acoustic,VPVF,acoustic,2025-03-05 05:06:24+00:00,2025-03-05 05:07:20+00:00,22.662,56.0,0.9080498175914832
2025-03-05 05:08:38+00:00,167228,Acoustic,VPVF,acoustic,2025-03-05 05:08:38+00:00,2025-03-05 05:09:22+00:00,17.737,44.0,0.8367497112362716
2025-03-05 05:10:06+00:00,167229,Acoustic,VPVF,acoustic,2025-03-05 05:10:06+00:00,2025-03-05 05:10:58+00:00,21.391,52.0,0.8912548287719173
2025-03-05 05:13:38+00:00,167230,Acoustic,VPVF,acoustic,2025-03-05 05:13:38+00:00,2025-03-05 05:14:22+00:00,24.37,44.0,0.9291932045537654
2025-03-05 05:16:24+00:00,167231,Acoustic,VPVF,acoustic,2025-03-05 05:16:24+00:00,2025-03-05 05:17:12+00:00,101.172,48.0,1.3433904246839143
2025-03-05 05:19:08+00:00,167232,Acoustic,VPVF,acoustic,2025-03-05 05:19:08+00:00,2025-03-05 05:19:44+00:00,47.856,36.0,1.125557385110453
2025-03-05 05:20:54+00:00,167233,Acoustic,VPVF,acoustic,2025-03-05 05:20:54+00:00,2025-03-05 05:21:38+00:00,5.218,44.0,0.4807277300920153
2025-03-05 05:22:46+00:00,167234,Acoustic,VPVF,acoustic,2025-03-05 05:22:46+00:00,2025-03-05 05:23:36+00:00,37.504,50.0,1.0546319853013253
2025-03-05 05:24:56+00:00,167235,Acoustic,VPVF,acoustic,2025-03-05 05:24:56+00:00,2025-03-05 05:25:34+00:00,9.901,38.0,0.6671049705427868
2025-03-05 05:25:56+00:00,167236,Acoustic,VPVF,acoustic,2025-03-05 05:25:56+00:00,2025-03-05 05:26:24+00:00,17.735,28.0,0.8367168991813343
2025-03-05 05:27:18+00:00,167237,Acoustic,VPVF,acoustic,2025-03-05 05:27:18+00:00,2025-03-05 05:27:52+00:00,9.654,34.0,0.659753887303391
2025-03-05 05:28:58+00:00,167238,Acoustic,VPVF,acoustic,2025-03-05 05:28:58+00:00,2025-03-05 05:29:30+00:00,14.239,32.0,0.7728312583146895
2025-03-05 05:30:40+00:00,167239,Acoustic,VPVF,acoustic,2025-03-05 05:30:40+00:00,2025-03-05 05:31:14+00:00,11.882,34.0,0.7201759971872477
2025-03-05 05:32:50+00:00,167240,Acoustic,VPVF,acoustic,2025-03-05 05:32:50+00:00,2025-03-05 05:33:20+00:00,23.375,30.0,0.9170635850948522
2025-03-05 05:34:22+00:00,167241,Acoustic,VPVF,acoustic,2025-03-05 05:34:22+00:00,2025-03-05 05:35:16+00:00,59.971,54.0,1.1912206647285972
2025-03-05 05:37:08+00:00,167242,Acoustic,VPVF,acoustic,2025-03-05 05:37:08+00:00,2025-03-05 05:37:38+00:00,8.136,30.0,0.6099753297428411
2025-03-05 05:38:44+00:00,167243,Acoustic,VPVF,acoustic,2025-03-05 05:38:44+00:00,2025-03-05 05:40:08+00:00,14.475,84.0,0.7776144435076474
2025-03-05 05:39:26+00:00,167244,Acoustic,VPVF,acoustic,2025-03-05 05:39:26+00:00,2025-03-05 05:39:50+00:00,5.837,24.0,0.5133470945178072
2025-03-05 05:41:44+00:00,167245,Acoustic,VPVF,acoustic,2025-03-05 05:41:44+00:00,2025-03-05 05:42:12+00:00,67.948,28.0,1.2275583743365015
