event_id,label,station,sensor_type,t1,t2,energy,duration,magnitude
163801,Acoustic,VPVF,acoustic,2025-02-16 18:31:50.800,2025-02-16 18:31:55.930,6.327,5.13,0.5368025490876297
163802,Acoustic,VPVF,acoustic,2025-02-16 18:36:25.800,2025-02-16 18:36:32.730,8.764,6.93,0.6316105871554074
163803,Acoustic,VPVF,acoustic,2025-02-16 18:37:13.250,2025-02-16 18:37:19.820,0.611,6.57,-0.14335238913748866
163804,Acoustic,VPVF,acoustic,2025-02-16 18:37:52.800,2025-02-16 18:37:58.740,142.289,5.94,1.442624789212132
163805,Acoustic,VPVF,acoustic,2025-02-16 18:42:11.780,2025-02-16 18:42:21.770,5.194,9.99,0.47938630334650023
163806,Acoustic,VPVF,acoustic,2025-02-16 18:51:44.800,2025-02-16 18:51:50.200,5.333,5.4,0.48707096106752734
163807,Acoustic,VPVF,acoustic,2025-02-16 18:57:00.340,2025-02-16 18:57:08.890,9.822,8.55,0.664773952963042
163808,Acoustic,VPVF,acoustic,2025-02-16 18:57:38.610,2025-02-16 18:57:45.450,12.049,6.84,0.7242371729342538
163809,Acoustic,VPVF,acoustic,2025-02-16 18:59:31.060,2025-02-16 18:59:36.820,6.149,5.76,0.5284990103399144
163810,Acoustic,VPVF,acoustic,2025-02-16 19:00:25.250,2025-02-16 19:00:29.840,3.6,4.59,0.3727226755140825
163826,Acoustic,VPVF,acoustic,2025-02-17 11:19:07.620,2025-02-17 11:19:16.260,1165.109,8.64,2.054465593204901
163831,Acoustic,VPVF,acoustic,2025-02-17 00:19:51.665,2025-02-17 00:19:59.225,102.738,7.56,1.347859841731982
163832,Acoustic,VPVF,acoustic,2025-02-17 00:34:10.923,2025-02-17 00:34:19.293,457.364,8.37,1.7823755248996365
163833,Acoustic,VPVF,acoustic,2025-02-17 02:27:00.125,2025-02-17 02:27:09.103,373.774,8.978,1.7236480891230284
163834,Acoustic,VPVF,acoustic,2025-02-17 02:40:11.518,2025-02-17 02:40:19.415,103.861,7.897,1.3510231748501744
163835,Acoustic,VPVF,acoustic,2025-02-17 03:06:49.003,2025-02-17 03:06:57.035,528.137,8.032,1.824240218096996
163836,Acoustic,VPVF,acoustic,2025-02-17 03:37:24.665,2025-02-17 03:37:33.103,267.703,8.438,1.6265276695358029
163837,Acoustic,VPVF,acoustic,2025-02-17 03:57:07.923,2025-02-17 03:57:17.035,316.502,9.112,1.6752522273300845
163838,Acoustic,VPVF,acoustic,2025-02-17 04:05:57.733,2025-02-17 04:06:05.158,52.893,7.425,1.154676794102995
163839,Acoustic,VPVF,acoustic,2025-02-17 04:20:46.923,2025-02-17 04:20:54.415,47.933,7.492,1.1260251894960773
163840,Acoustic,VPVF,acoustic,2025-02-17 04:36:09.665,2025-02-17 04:36:17.428,368.148,7.763,1.7192350384661728
163841,Acoustic,VPVF,acoustic,2025-02-17 04:51:36.733,2025-02-17 04:51:44.563,230.722,7.83,1.5832696351668134
163842,Acoustic,VPVF,acoustic,2025-02-17 05:00:31.665,2025-02-17 05:00:39.833,74.596,8.168,1.2547194119882348
163843,Acoustic,VPVF,acoustic,2025-02-17 05:29:52.855,2025-02-17 05:30:00.483,268.381,7.628,1.6272636837296095
163844,Acoustic,VPVF,acoustic,2025-02-17 05:40:22.058,2025-02-17 05:40:28.403,39.558,6.345,1.070146998505322
163845,Acoustic,VPVF,acoustic,2025-02-17 05:48:55.923,2025-02-17 05:49:04.495,133.325,8.572,1.4236907668777927
163846,Acoustic,VPVF,acoustic,2025-02-17 06:15:07.328,2025-02-17 06:15:16.508,741.926,9.18,1.9231415957900504
163847,Acoustic,VPVF,acoustic,2025-02-17 06:31:23.395,2025-02-17 06:31:31.225,833.698,7.83,1.957075868963786
163848,Acoustic,VPVF,acoustic,2025-02-17 06:45:18.788,2025-02-17 06:45:25.133,220.558,6.345,1.5701602860315629
163849,Acoustic,VPVF,acoustic,2025-02-17 07:06:34.598,2025-02-17 07:06:42.428,389.414,7.83,1.7355757458588252
163850,Acoustic,VPVF,acoustic,2025-02-17 07:17:08.193,2025-02-17 07:17:15.955,214.556,7.762,1.5621322448566848
163851,Acoustic,VPVF,acoustic,2025-02-17 07:41:59.395,2025-02-17 07:42:10.398,314.395,11.003,1.6733086724977053
163852,Acoustic,VPVF,acoustic,2025-02-17 10:23:20.193,2025-02-17 10:23:28.158,2066.862,7.965,2.2212586920503488
163853,Acoustic,VPVF,acoustic,2025-02-17 10:52:59.058,2025-02-17 10:53:07.158,325.441,8.1,1.6833564180355007
163854,Acoustic,VPVF,acoustic,2025-02-17 11:00:14.855,2025-02-17 11:00:23.023,449.521,8.168,1.7773424900941543
163855,Acoustic,VPVF,acoustic,2025-02-17 11:38:09.125,2025-02-17 11:38:17.293,571.997,8.168,1.847453813182589
163856,Acoustic,VPVF,acoustic,2025-02-17 11:57:55.665,2025-02-17 11:58:05.048,3366.905,9.383,2.363244677931385
163857,Acoustic,VPVF,acoustic,2025-02-17 08:23:33.605,2025-02-17 08:23:44.135,1100.147,10.53,2.037771981606664
163859,Acoustic,VPVF,acoustic,2025-02-17 12:02:23.788,2025-02-17 12:02:30.875,1008.685,7.087,2.012516226908235
