,Erruption Activity,VPCC RSAM,VPPC RSAM,VPNC RSAM,VPRS RSAM,VPRS Field E,VPRS Field N,VPRS Field Z,CO2 Concentration
2025-02-04 17:42:00+00:00,0.0,80.07373389632032,820.0416798760169,271.3536673011504,61.11575750505297,-0.00551,1.9812,0.034695,354.70285714285717
2025-02-04 17:43:00+00:00,0.0,82.56123321402231,815.9298546013214,271.0188456451735,61.29627733961857,-0.005515,1.981175,0.0346975,354.24
2025-02-04 17:44:00+00:00,0.0,85.04873253172431,811.8180293266258,270.6840239891966,61.47679717418418,-0.0055475,1.9811825,0.0346975,354.0
2025-02-04 17:45:00+00:00,0.0,87.5362318494263,807.7062040519303,270.3492023332197,61.657317008749786,-0.0055575,1.981155,0.0347,353.76
2025-02-04 17:46:00+00:00,0.0,90.02373116712829,803.5943787772349,270.01438067724274,61.83783684331539,-0.005595,1.981155,0.0346975,353.52000000000004
2025-02-04 17:47:00+00:00,0.0,92.51123048483028,799.4825535025393,269.67955902126585,62.01835667788099,-0.00564,1.9811475,0.0346975,353.28000000000003
2025-02-04 17:48:00+00:00,0.0,94.99872980253228,795.3707282278438,269.34473736528895,62.19887651244659,-0.0056725,1.9811175,0.0346975,353.04
2025-02-04 17:49:00+00:00,0.0,97.48622912023428,791.2589029531483,269.00991570931205,62.37939634701221,-0.0056975,1.9811125,0.0347,352.8
2025-02-04 17:50:00+00:00,0.0,99.97372843793627,787.1470776784528,268.67509405333516,62.559916181577805,-0.005705,1.981105,0.0347,352.56
2025-02-04 17:51:00+00:00,0.0,97.57815185973664,794.1705670594097,270.75215088224326,63.12253477453462,-0.0057325,1.981095,0.0347,352.32
2025-02-04 17:52:00+00:00,0.0,95.18257528153698,801.1940564403666,272.8292077111513,63.68515336749143,-0.00576,1.9811,0.0347,352.08
2025-02-04 17:53:00+00:00,0.0,92.78699870333736,808.2175458213235,274.9062645400594,64.24777196044825,-0.005765,1.9810925,0.0347025,351.84000000000003
2025-02-04 17:54:00+00:00,0.0,90.3914221251377,815.2410352022804,276.9833213689675,64.81039055340506,-0.0057775,1.981085,0.0347,351.6
2025-02-04 17:55:00+00:00,0.0,87.99584554693806,822.2645245832372,279.0603781978756,65.37300914636187,-0.00579,1.9810825,0.0347,351.36
2025-02-04 17:56:00+00:00,0.0,85.60026896873842,829.2880139641941,281.13743502678363,65.93562773931869,-0.0058175,1.9810775,0.0347025,351.12
2025-02-04 17:57:00+00:00,0.0,83.20469239053877,836.311503345151,283.21449185569173,66.4982463322755,-0.00584,1.9810725,0.0347025,350.88
2025-02-04 17:58:00+00:00,0.0,80.80911581233913,843.3349927261079,285.29154868459983,67.06086492523231,-0.00586,1.9810475,0.0347025,350.64
